x, y, z, pressure, velmag, vx, vy, vz
0.36585, 0.56452, 0.0, -0.00678, 1.00209, 1.00209, -0.00048, 0.0
0.36585, 0.59677, 0.0, -0.00676, 1.00215, 1.00215, -0.00072, 0.0
0.36585, 0.62903, 0.0, -0.00673, 1.00224, 1.00224, -0.00097, 0.0
0.36585, 0.66129, 0.0, -0.00669, 1.00236, 1.00236, -0.00121, 0.0
0.36585, 0.69355, 0.0, -0.00665, 1.00251, 1.00251, -0.00147, 0.0
0.36585, 0.72581, 0.0, -0.00661, 1.00270, 1.00270, -0.00172, 0.0
0.36585, 0.75806, 0.0, -0.00656, 1.00293, 1.00293, -0.00198, 0.0
0.36585, 0.79032, 0.0, -0.00651, 1.00320, 1.00320, -0.00225, 0.0
0.36585, 0.82258, 0.0, -0.00647, 1.00349, 1.00348, -0.00252, 0.0
0.36585, 0.85484, 0.0, -0.00642, 1.00373, 1.00373, -0.00278, 0.0
0.36585, 0.88710, 0.0, -0.00636, 1.00375, 1.00374, -0.00292, 0.0
0.36585, 0.91935, 0.0, -0.00639, 1.00294, 1.00294, -0.00306, 0.0
0.36585, 0.95161, 0.0, -0.00677, 0.99847, 0.99846, -0.00462, 0.0
0.36585, 0.98387, 0.0, -0.00638, 0.96428, 0.96428, 0.00012, 0.0
0.36585, 1.00000, 0.0, -0.00618, 0.00000, 0.00000, 0.00000, 0.0
0.60976, 0.00000, 0.0, -0.00847, 0.00000, 0.00000, 0.00000, 0.0
0.60976, 0.01613, 0.0, -0.00852, 0.94290, 0.94289, 0.00144, 0.0
0.60976, 0.04839, 0.0, -0.00861, 0.99491, 0.99491, 0.00374, 0.0
0.60976, 0.08065, 0.0, -0.00851, 1.00338, 1.00337, 0.00318, 0.0
0.60976, 0.11290, 0.0, -0.00855, 1.00520, 1.00520, 0.00312, 0.0
0.60976, 0.14516, 0.0, -0.00859, 1.00557, 1.00556, 0.00294, 0.0
0.60976, 0.17742, 0.0, -0.00862, 1.00549, 1.00549, 0.00269, 0.0
0.60976, 0.20968, 0.0, -0.00864, 1.00528, 1.00527, 0.00242, 0.0
0.60976, 0.24194, 0.0, -0.00866, 1.00503, 1.00503, 0.00215, 0.0
0.60976, 0.27419, 0.0, -0.00868, 1.00480, 1.00480, 0.00188, 0.0
0.60976, 0.30645, 0.0, -0.00870, 1.00459, 1.00459, 0.00160, 0.0
0.60976, 0.33871, 0.0, -0.00872, 1.00443, 1.00442, 0.00133, 0.0
0.60976, 0.37097, 0.0, -0.00874, 1.00429, 1.00429, 0.00107, 0.0
0.60976, 0.40323, 0.0, -0.00875, 1.00419, 1.00419, 0.00080, 0.0
0.60976, 0.43548, 0.0, -0.00875, 1.00412, 1.00412, 0.00053, 0.0
0.60976, 0.46774, 0.0, -0.00876, 1.00407, 1.00407, 0.00027, 0.0
0.60976, 0.50000, 0.0, -0.00876, 1.00406, 1.00406, -0.00000, 0.0
0.60976, 0.53226, 0.0, -0.00876, 1.00407, 1.00407, -0.00027, 0.0
0.60976, 0.56452, 0.0, -0.00875, 1.00412, 1.00412, -0.00053, 0.0
0.60976, 0.59677, 0.0, -0.00875, 1.00419, 1.00419, -0.00080, 0.0
0.60976, 0.62903, 0.0, -0.00874, 1.00429, 1.00429, -0.00107, 0.0
0.60976, 0.66129, 0.0, -0.00872, 1.00443, 1.00442, -0.00133, 0.0
0.60976, 0.69355, 0.0, -0.00870, 1.00459, 1.00459, -0.00160, 0.0
0.60976, 0.72581, 0.0, -0.00868, 1.00480, 1.00480, -0.00188, 0.0
0.60976, 0.75806, 0.0, -0.00866, 1.00503, 1.00503, -0.00215, 0.0
0.60976, 0.79032, 0.0, -0.00864, 1.00528, 1.00527, -0.00242, 0.0
0.60976, 0.82258, 0.0, -0.00862, 1.00549, 1.00549, -0.00269, 0.0
0.60976, 0.85484, 0.0, -0.00859, 1.00557, 1.00556, -0.00294, 0.0
0.60976, 0.88710, 0.0, -0.00855, 1.00520, 1.00520, -0.00312, 0.0
0.60976, 0.91935, 0.0, -0.00851, 1.00338, 1.00337, -0.00318, 0.0
0.60976, 0.95161, 0.0, -0.00861, 0.99491, 0.99491, -0.00374, 0.0
0.60976, 0.98387, 0.0, -0.00852, 0.94290, 0.94289, -0.00144, 0.0
0.60976, 1.00000, 0.0, -0.00847, 0.00000, 0.00000, 0.00000, 0.0
0.85366, 0.00000, 0.0, -0.01059, 0.00000, 0.00000, 0.00000, 0.0
0.85366, 0.01613, 0.0, -0.01060, 0.92193, 0.92193, 0.00198, 0.0
0.85366, 0.04839, 0.0, -0.01061, 0.99052, 0.99051, 0.00343, 0.0
0.85366, 0.08065, 0.0, -0.01060, 1.00345, 1.00345, 0.00336, 0.0
0.85366, 0.11290, 0.0, -0.01064, 1.00648, 1.00648, 0.00329, 0.0
0.85366, 0.14516, 0.0, -0.01068, 1.00730, 1.00730, 0.00309, 0.0
0.85366, 0.17742, 0.0, -0.01070, 1.00744, 1.00744, 0.00283, 0.0
0.85366, 0.20968, 0.0, -0.01072, 1.00733, 1.00733, 0.00256, 0.0
0.85366, 0.24194, 0.0, -0.01074, 1.00713, 1.00713, 0.00228, 0.0
0.85366, 0.27419, 0.0, -0.01076, 1.00692, 1.00692, 0.00200, 0.0
0.85366, 0.30645, 0.0, -0.01078, 1.00672, 1.00672, 0.00171, 0.0
0.85366, 0.33871, 0.0, -0.01079, 1.00655, 1.00655, 0.00143, 0.0
0.85366, 0.37097, 0.0, -0.01080, 1.00641, 1.00641, 0.00114, 0.0
0.85366, 0.40323, 0.0, -0.01081, 1.00630, 1.00630, 0.00085, 0.0
0.85366, 0.43548, 0.0, -0.01081, 1.00623, 1.00623, 0.00057, 0.0
0.85366, 0.46774, 0.0, -0.01082, 1.00618, 1.00618, 0.00028, 0.0
0.85366, 0.50000, 0.0, -0.01082, 1.00617, 1.00617, -0.00000, 0.0
0.85366, 0.53226, 0.0, -0.01082, 1.00618, 1.00618, -0.00028, 0.0
0.85366, 0.56452, 0.0, -0.01081, 1.00623, 1.00623, -0.00057, 0.0
0.85366, 0.59677, 0.0, -0.01081, 1.00630, 1.00630, -0.00085, 0.0
0.85366, 0.62903, 0.0, -0.01080, 1.00641, 1.00641, -0.00114, 0.0
0.85366, 0.66129, 0.0, -0.01079, 1.00655, 1.00655, -0.00143, 0.0
0.85366, 0.69355, 0.0, -0.01078, 1.00672, 1.00672, -0.00171, 0.0
0.85366, 0.72581, 0.0, -0.01076, 1.00692, 1.00692, -0.00200, 0.0
0.85366, 0.75806, 0.0, -0.01074, 1.00713, 1.00713, -0.00228, 0.0
0.85366, 0.79032, 0.0, -0.01072, 1.00733, 1.00733, -0.00256, 0.0
0.85366, 0.82258, 0.0, -0.01070, 1.00744, 1.00744, -0.00283, 0.0
0.85366, 0.85484, 0.0, -0.01068, 1.00730, 1.00730, -0.00309, 0.0
0.85366, 0.88710, 0.0, -0.01064, 1.00648, 1.00648, -0.00329, 0.0
0.85366, 0.91935, 0.0, -0.01060, 1.00345, 1.00345, -0.00336, 0.0
0.85366, 0.95161, 0.0, -0.01061, 0.99052, 0.99051, -0.00343, 0.0
0.85366, 0.98387, 0.0, -0.01060, 0.92193, 0.92193, -0.00198, 0.0
0.85366, 1.00000, 0.0, -0.01059, 0.00000, 0.00000, 0.00000, 0.0
1.09756, 0.00000, 0.0, -0.01285, 0.00000, 0.00000, 0.00000, 0.0
1.09756, 0.01613, 0.0, -0.01284, 0.90161, 0.90161, 0.00207, 0.0
1.09756, 0.04839, 0.0, -0.01282, 0.98544, 0.98543, 0.00326, 0.0
1.09756, 0.08065, 0.0, -0.01283, 1.00325, 1.00325, 0.00343, 0.0
1.09756, 0.11290, 0.0, -0.01285, 1.00767, 1.00766, 0.00336, 0.0
1.09756, 0.14516, 0.0, -0.01287, 1.00902, 1.00902, 0.00316, 0.0
1.09756, 0.17742, 0.0, -0.01289, 1.00941, 1.00941, 0.00291, 0.0
1.09756, 0.20968, 0.0, -0.01290, 1.00943, 1.00942, 0.00264, 0.0
1.09756, 0.24194, 0.0, -0.01292, 1.00929, 1.00929, 0.00236, 0.0
1.09756, 0.27419, 0.0, -0.01293, 1.00911, 1.00911, 0.00207, 0.0
1.09756, 0.30645, 0.0, -0.01293, 1.00892, 1.00892, 0.00177, 0.0
1.09756, 0.33871, 0.0, -0.01294, 1.00875, 1.00875, 0.00148, 0.0
1.09756, 0.37097, 0.0, -0.01295, 1.00861, 1.00861, 0.00118, 0.0
1.09756, 0.40323, 0.0, -0.01295, 1.00850, 1.00850, 0.00089, 0.0
1.09756, 0.43548, 0.0, -0.01295, 1.00842, 1.00842, 0.00059, 0.0
1.09756, 0.46774, 0.0, -0.01296, 1.00838, 1.00838, 0.00029, 0.0
1.09756, 0.50000, 0.0, -0.01296, 1.00836, 1.00836, -0.00000, 0.0
1.09756, 0.53226, 0.0, -0.01296, 1.00838, 1.00838, -0.00029, 0.0
1.09756, 0.56452, 0.0, -0.01295, 1.00842, 1.00842, -0.00059, 0.0
1.09756, 0.59677, 0.0, -0.01295, 1.00850, 1.00850, -0.00089, 0.0
1.09756, 0.62903, 0.0, -0.01295, 1.00861, 1.00861, -0.00118, 0.0
1.09756, 0.66129, 0.0, -0.01294, 1.00875, 1.00875, -0.00148, 0.0
1.09756, 0.69355, 0.0, -0.01293, 1.00892, 1.00892, -0.00177, 0.0
1.09756, 0.72581, 0.0, -0.01293, 1.00911, 1.00911, -0.00207, 0.0
1.09756, 0.75806, 0.0, -0.01292, 1.00929, 1.00929, -0.00236, 0.0
1.09756, 0.79032, 0.0, -0.01290, 1.00943, 1.00942, -0.00264, 0.0
1.09756, 0.82258, 0.0, -0.01289, 1.00941, 1.00941, -0.00291, 0.0
1.09756, 0.85484, 0.0, -0.01287, 1.00902, 1.00902, -0.00316, 0.0
1.09756, 0.88710, 0.0, -0.01285, 1.00767, 1.00766, -0.00336, 0.0
1.09756, 0.91935, 0.0, -0.01283, 1.00325, 1.00325, -0.00343, 0.0
1.09756, 0.95161, 0.0, -0.01282, 0.98544, 0.98543, -0.00326, 0.0
1.09756, 0.98387, 0.0, -0.01284, 0.90161, 0.90161, -0.00207, 0.0
1.09756, 1.00000, 0.0, -0.01285, 0.00000, 0.00000, 0.00000, 0.0
1.34146, 0.00000, 0.0, -0.01513, 0.00000, 0.00000, 0.00000, 0.0
1.34146, 0.01613, 0.0, -0.01512, 0.88198, 0.88198, 0.00201, 0.0
1.34146, 0.04839, 0.0, -0.01509, 0.97973, 0.97973, 0.00315, 0.0
1.34146, 0.08065, 0.0, -0.01511, 1.00275, 1.00275, 0.00346, 0.0
1.34146, 0.11290, 0.0, -0.01512, 1.00873, 1.00872, 0.00338, 0.0
1.34146, 0.14516, 0.0, -0.01514, 1.01068, 1.01068, 0.00319, 0.0
1.34146, 0.17742, 0.0, -0.01515, 1.01136, 1.01136, 0.00295, 0.0
1.34146, 0.20968, 0.0, -0.01516, 1.01153, 1.01153, 0.00268, 0.0
1.34146, 0.24194, 0.0, -0.01517, 1.01148, 1.01147, 0.00240, 0.0
1.34146, 0.27419, 0.0, -0.01517, 1.01134, 1.01133, 0.00210, 0.0
1.34146, 0.30645, 0.0, -0.01518, 1.01117, 1.01117, 0.00181, 0.0
1.34146, 0.33871, 0.0, -0.01518, 1.01101, 1.01101, 0.00151, 0.0
1.34146, 0.37097, 0.0, -0.01518, 1.01087, 1.01087, 0.00121, 0.0
1.34146, 0.40323, 0.0, -0.01519, 1.01076, 1.01076, 0.00090, 0.0
1.34146, 0.43548, 0.0, -0.01519, 1.01069, 1.01069, 0.00060, 0.0
1.34146, 0.46774, 0.0, -0.01519, 1.01064, 1.01064, 0.00030, 0.0
1.34146, 0.50000, 0.0, -0.01519, 1.01062, 1.01062, -0.00000, 0.0
1.34146, 0.53226, 0.0, -0.01519, 1.01064, 1.01064, -0.00030, 0.0
1.34146, 0.56452, 0.0, -0.01519, 1.01069, 1.01069, -0.00060, 0.0
1.34146, 0.59677, 0.0, -0.01519, 1.01076, 1.01076, -0.00090, 0.0
1.34146, 0.62903, 0.0, -0.01518, 1.01087, 1.01087, -0.00121, 0.0
1.34146, 0.66129, 0.0, -0.01518, 1.01101, 1.01101, -0.00151, 0.0
1.34146, 0.69355, 0.0, -0.01518, 1.01117, 1.01117, -0.00181, 0.0
1.34146, 0.72581, 0.0, -0.01517, 1.01134, 1.01133, -0.00210, 0.0
1.34146, 0.75806, 0.0, -0.01517, 1.01148, 1.01147, -0.00240, 0.0
1.34146, 0.79032, 0.0, -0.01516, 1.01153, 1.01153, -0.00268, 0.0
1.34146, 0.82258, 0.0, -0.01515, 1.01136, 1.01136, -0.00295, 0.0
1.34146, 0.85484, 0.0, -0.01514, 1.01068, 1.01068, -0.00319, 0.0
1.34146, 0.88710, 0.0, -0.01512, 1.00873, 1.00872, -0.00338, 0.0
1.34146, 0.91935, 0.0, -0.01511, 1.00275, 1.00275, -0.00346, 0.0
1.34146, 0.95161, 0.0, -0.01509, 0.97973, 0.97973, -0.00315, 0.0
1.34146, 0.98387, 0.0, -0.01512, 0.88198, 0.88198, -0.00201, 0.0
1.34146, 1.00000, 0.0, -0.01513, 0.00000, 0.00000, 0.00000, 0.0
1.58537, 0.00000, 0.0, -0.01744, 0.00000, 0.00000, 0.00000, 0.0
1.58537, 0.01613, 0.0, -0.01742, 0.86314, 0.86314, 0.00189, 0.0
1.58537, 0.04839, 0.0, -0.01740, 0.97351, 0.97350, 0.00306, 0.0
1.58537, 0.08065, 0.0, -0.01741, 1.00196, 1.00195, 0.00344, 0.0
1.58537, 0.11290, 0.0, -0.01742, 1.00965, 1.00965, 0.00338, 0.0
1.58537, 0.14516, 0.0, -0.01743, 1.01228, 1.01228, 0.00321, 0.0
1.58537, 0.17742, 0.0, -0.01744, 1.01328, 1.01328, 0.00297, 0.0
1.58537, 0.20968, 0.0, -0.01745, 1.01362, 1.01362, 0.00271, 0.0
1.58537, 0.24194, 0.0, -0.01746, 1.01367, 1.01366, 0.00242, 0.0
1.58537, 0.27419, 0.0, -0.01746, 1.01358, 1.01358, 0.00213, 0.0
1.58537, 0.30645, 0.0, -0.01747, 1.01344, 1.01344, 0.00183, 0.0
1.58537, 0.33871, 0.0, -0.01747, 1.01330, 1.01330, 0.00153, 0.0
1.58537, 0.37097, 0.0, -0.01747, 1.01317, 1.01317, 0.00122, 0.0
1.58537, 0.40323, 0.0, -0.01747, 1.01306, 1.01306, 0.00092, 0.0
1.58537, 0.43548, 0.0, -0.01747, 1.01298, 1.01298, 0.00061, 0.0
1.58537, 0.46774, 0.0, -0.01747, 1.01294, 1.01294, 0.00031, 0.0
1.58537, 0.50000, 0.0, -0.01747, 1.01292, 1.01292, -0.00000, 0.0
1.58537, 0.53226, 0.0, -0.01747, 1.01294, 1.01294, -0.00031, 0.0
1.58537, 0.56452, 0.0, -0.01747, 1.01298, 1.01298, -0.00061, 0.0
1.58537, 0.59677, 0.0, -0.01747, 1.01306, 1.01306, -0.00092, 0.0
1.58537, 0.62903, 0.0, -0.01747, 1.01317, 1.01317, -0.00122, 0.0
1.58537, 0.66129, 0.0, -0.01747, 1.01330, 1.01330, -0.00153, 0.0
1.58537, 0.69355, 0.0, -0.01747, 1.01344, 1.01344, -0.00183, 0.0
